Model,Accuracy,Precision,Recall,F1
Naive Bayes (Text Only),0.9678411633109619,1.0,0.3352601156069364,0.5021645021645021
Logistic Regression (Text + Metadata),0.9781879194630873,0.7188940092165899,0.9017341040462428,0.8
SGD Classifier (Text + Metadata),0.9787472035794184,0.7214611872146118,0.9132947976878613,0.8061224489795918
